Restaurant Name,Restaurant Name Length,Address Length,Has Table Booking (binary),Has Online Delivery (binary),Aggregate rating
Cervantes,9,55,0,0,4.5
Amir,4,54,0,0,4.2
TT Burger,9,69,0,0,4.8
Braseiro da G��vea,18,49,0,0,4.9
Balada Mix,10,53,0,0,4.6
Garota de Ipanema,17,51,0,0,4.9
Zaz�� Bistr�� Tropical,22,48,0,0,4.6
Fil�� de Ouro,13,66,0,0,4.3
D.O.C Ristorante,16,90,0,0,4.0
Sushi Leblon,12,46,0,0,4.6
Talho Capixaba,14,67,0,0,4.4
Leme Light,10,46,0,0,4.2
Shirley,7,46,0,0,4.2
Quiosque Chopp Brahma,21,97,0,0,0.0
Apraz�_vel,10,48,0,0,4.7
Aconchego Carioca,17,51,0,0,4.6
Garota de Ipanema,17,45,0,0,4.3
Cantina Famiglia Mancini,24,49,0,0,4.5
Templo da Carne - Marcos Bassi,30,55,0,0,4.4
Gopala Hari,11,49,0,0,3.1
Jiquitaia,9,50,0,0,4.1
Skye - Hotel Unique,19,82,0,0,4.8
Les 3 Brasseurs,15,48,0,0,4.6
Red Steak & Burger,18,42,0,0,3.9
Cantinho da Gula,16,54,0,0,0.0
Paris 6 Classique,17,69,0,0,3.4
Kawa Sushi,10,48,0,0,3.5
A Figueira Rubaiyat,19,75,0,0,4.3
Kinoshita,9,65,0,0,3.9
Meats,5,45,0,0,4.3
Paribar,7,57,0,0,4.3
Terra�_o It��lia,16,77,0,0,4.4
Divino Fog��o,13,92,0,0,0.0
Super Grill,11,91,0,0,0.0
Esquina Mocot�_,15,76,0,0,4.4
Veloso,6,52,0,0,4.6
Sainte Marie Gastronomia,24,59,0,0,4.1
Austin's BBQ and Oyster Bar,27,34,0,0,3.3
BJ's Country Buffet,19,32,0,0,3.3
Cookie Shoppe,13,34,0,0,3.4
El Vaquero Mexican Restaurant,29,32,0,0,3.4
Elements Coffee Co - Northwest,30,37,0,0,3.4
Pearly's Famous Country Cookng,30,36,0,0,3.4
Chick-fil-A,11,32,0,0,3.5
Guang Zhou Chinese Restaurant,29,38,0,0,3.9
Harvest Moon,12,34,0,0,3.7
Henry Campbell's Steakhouse,27,38,0,0,3.5
Hong Kong Cafe,14,32,0,0,3.6
House of China Restaurant II,28,38,0,0,3.8
Jimmie's Hot Dogs,17,34,0,0,3.9
Locos Grill & Pub,17,37,0,0,3.5
Longhorn Steakhouse,19,32,0,0,3.5
Mikata Japanese Steakhouse,26,32,0,0,3.6
Shogun Japanese Steak House,27,37,0,0,3.5
The Catch Seafood Room & Oyster Bar,35,44,0,0,3.8
Villa Gargano,13,37,0,0,3.7
3 Squares Diner,15,38,0,0,3.4
Whitebull Hotel,15,27,0,0,3.5
Last Resort Grill,17,34,0,0,4.5
Mama's Boy Restaurant,21,20,0,0,4.5
Sr. Sol 1,9,34,0,0,4.6
Choo Choo Eastside,18,47,0,0,3.9
The Grill,9,33,0,0,3.7
Big City Bread Cafe,19,33,0,0,4.3
Clocked,7,37,0,0,4.2
DePalma's Italian Cafe - Downtown,33,32,0,0,4.0
DePalma's Italian Cafe - East Side,34,40,0,0,4.1
Five & Ten,10,41,0,0,4.3
Grit,4,32,0,0,4.2
Ike & Jane,10,33,0,0,4.1
La Dolce Vita Ristorante,24,32,0,0,4.1
Shokitini,9,34,0,0,4.2
Taqueria Del Sol,16,32,0,0,4.1
The National,12,37,0,0,4.1
The Royal Peasant,17,37,0,0,4.4
Transmetropolitan,17,34,0,0,4.4
Trappeze Pub,12,31,0,0,4.2
Viva! Argentine Cuisine,23,32,0,0,4.1
Miyabi Kyoto Japanese Steak House,33,41,0,0,4.6
Rae's Coastal Cafe,18,38,0,0,4.9
The Bee's Knees,15,34,0,0,4.5
Boll Weevil Cafe,16,28,0,0,3.9
Farmhaus Burger,15,32,0,0,3.9
Manuel's Bread Cafe,19,41,0,0,3.8
Sconyers Bar B Que,18,36,0,0,3.5
Frog Hollow Tavern,18,36,0,0,4.3
Giuseppe's Pizza & Italian Specialities,39,34,0,0,4.1
Mellow Mushroom,15,32,0,0,4.4
Nacho Mamas Burritos,20,31,0,0,4.0
Rhinehart's Oyster Bar,22,37,0,0,4.0
Takosushi,9,35,0,0,4.2
The Chop House,14,31,0,0,4.0
The Taj of India,16,37,0,0,4.0
Augsburg Haus,13,37,0,0,3.9
Pho Bac,7,34,0,0,4.1
Rhinehart's Oyster Bar,22,37,0,0,4.0
Thai Kitchen,12,37,0,0,4.3
El Kiosco Mexican Restaurant,28,40,0,0,4.2
Taste of Balingup,17,34,0,0,3.2
Bridge Road Brewers,19,55,0,0,4.6
Bardenay,8,31,0,0,4.5
Flatbread Neapolitan Pizzeria,29,37,0,0,4.6
Goldy's Breakfast Bistro,24,35,0,0,4.5
Chandlers Steakhouse,20,31,0,0,3.9
Bar Gernika Basque Pub & Eatery,31,35,0,0,4.3
Barbacoa Restaurant,19,32,0,0,4.1
Big Jud's,9,32,0,0,4.2
Bittercreek Ale House,21,29,0,0,4.3
Boise Fry Company,17,35,0,0,4.4
Flying Pie Pizzaria,19,36,0,0,4.1
Fork,4,29,0,0,4.4
Guido's Original New York Style Pizza,37,29,0,0,4.3
Los Beto's,10,36,0,0,4.4
Lucianos Italian Restaurant,27,32,0,0,4.4
Mai Thai Restaurant,19,31,0,0,4.0
Shige Japanese Cuisine,22,29,0,0,4.1
The Egg Factory,15,36,0,0,4.3
Tucanos,7,41,0,0,4.0
Texas Roadhouse,15,49,0,0,4.0
Brick 29,8,34,0,0,4.4
Winifreds,9,39,0,0,3.7
Biaggi's Ristorante Italiano,28,41,0,0,4.1
El Super Burrito,16,43,0,0,4.1
Granite City Food & Brewery,27,39,0,0,4.1
Irish Democrat,14,39,0,0,4.4
Taste of India,14,45,0,0,4.2
Thai Moon Restaurant,20,40,0,0,4.2
Ting's Red Lantern,18,40,0,0,4.2
Monica's,8,36,0,0,3.8
Exotic India,12,33,0,0,4.1
Shorts Burger and Shine,23,36,0,0,4.9
The Hamburg Inn No. 2 Inc.,26,34,0,0,4.5
Bluebird Diner,14,36,0,0,3.6
Graze,5,40,0,0,3.8
A & A Pagliai's Pizza,21,41,0,0,4.3
Atlas World Grill,17,33,0,0,4.3
BlackStone,10,42,0,0,4.1
Devotay,7,34,0,0,4.0
Jimmy Jack's Rib Shack,22,44,0,0,4.2
Zoeys Pizzeria,14,29,0,0,4.7
Tokyo Sushi,11,40,0,0,3.7
Berry Patch Restaurant,22,31,0,0,4.3
Sakura Sushi & Grill,20,48,0,0,3.1
Uptown Vietnam cuisine,22,33,0,0,3.3
Cafe Le Rue @ The Landings,26,40,0,0,4.6
Mark's City Grille,18,34,0,0,4.5
B Merrell's,11,38,0,0,3.8
Cannon Brewpub,14,33,0,0,3.9
Fuji Japanese Steak House,25,38,0,0,3.9
Ruth Ann's Family Restaurant,28,40,0,0,3.7
Samurai Japanese Cuisine & Sushi Bar,36,33,0,0,3.6
Wasabi Sushi and Thai,21,40,0,0,3.7
Buckhead Bar and Grill,22,34,0,0,4.2
Burt's Butcher Shoppe and Eatery,32,40,0,0,4.3
Chef Lee's Peking Restaurant,28,40,0,0,4.0
Country's Barbecue,18,35,0,0,4.0
Deorio's,8,41,0,0,4.0
Mellow Mushroom,15,38,0,0,4.1
Meritage,8,32,0,0,4.1
Mongo The Mongolian Fire Pit,28,42,0,0,4.2
The Black Cow,13,33,0,0,4.3
Wood Stone,10,39,0,0,4.0
Hunter's Pub,12,36,0,0,4.4
Consort Restaurant,18,37,0,0,3.0
Thatcher's Barbeque and Grill,29,33,0,0,3.7
Christian and Jake's Bistro,27,37,0,0,4.4
Dub's High on the Hog,21,32,0,0,4.4
Sierra's Mexican Restaurant,27,39,0,0,3.9
Oakwood Cafe,12,40,0,0,4.9
Chili's Grill & Bar,19,32,0,0,3.8
Fuji Japanese Steakhouse,24,35,0,0,3.8
Las Palmas,10,35,0,0,3.8
Tony's Italian Restaurant & Pizza,33,31,0,0,3.7
Filling Station,15,35,0,0,4.1
Five Guys Burgers and Fries,27,37,0,0,4.1
Los Pablos,10,41,0,0,4.1
Kobe Hibachi & Sushi,20,48,0,0,4.6
Soho Hibachi,12,51,0,0,4.3
Thai Garden,11,47,0,0,4.2
Southern Bliss Bakery,21,37,0,0,3.7
Bailey's Bar-B-Que,18,35,0,0,4.1
Farm To Fork,12,40,0,0,4.3
Home Plate Grill,16,37,0,0,4.2
Pie Slingers Pizzeria,21,51,0,0,4.1
Olive Tree Cafe,15,38,0,0,4.6
"Red Ginger Sushi, Grill & Bar",29,35,0,0,4.5
Crust Stone Oven Pizza,22,37,0,0,3.9
Jimmy's Pancake House,21,37,0,0,4.0
Trattoria Tiramisu,18,35,0,0,4.1
Prairie Grille at SteepleGate Inn,33,34,0,0,3.4
Tantra Asian Bistro,19,37,0,0,4.9
Chick-fil-A,11,38,0,0,3.9
Duck City Bistro,16,33,0,0,3.7
Frick's Tap,11,27,0,0,0.0
Los Agaves,10,40,0,0,0.0
Azteca,6,42,0,0,4.3
China Cafe,10,35,0,0,4.0
Exotic Thai Restaurant,22,35,0,0,4.1
Front Street Brewery,20,35,0,0,4.3
Granite City Food & Brewery,27,40,0,0,4.0
Los Agaves,10,36,0,0,4.1
Machine Shed Restaurant,23,40,0,0,4.1
Osaka,5,40,0,0,4.2
Texas Roadhouse,15,39,0,0,4.2
Hickory Park,12,31,0,0,4.5
The Cafe,8,36,0,0,4.9
Flying Mango,12,37,0,0,4.5
Cool Basil,10,36,0,0,4.1
HuHot Mongolian Grill,21,49,0,0,4.0
Malo,4,41,0,0,3.2
Centro,6,36,0,0,4.5
Fong's Pizza,12,36,0,0,4.6
A Dong Restaurant,17,38,0,0,4.4
Court Avenue Brewing Company,28,35,0,0,4.2
Django,6,37,0,0,4.3
Miyabi 9,8,37,0,0,4.8
Zombie Burger + Drink Lab,25,39,0,0,4.2
Tursi's Latin King,18,38,0,0,4.1
Tsing Tsao South,16,35,0,0,4.1
Bandit Burrito,14,39,0,0,4.0
Jethro's BBQ,12,37,0,0,4.3
The Machine Shed Restaurant,27,39,0,0,3.8
Mi Patria,9,40,0,0,4.0
Waterfront Seafood Market,25,46,0,0,4.2
The Giggling Goat,17,34,0,0,3.6
Burnt Toast Cafe,16,31,0,0,3.4
Catfish Charlie's,17,33,0,0,3.3
Salsa's Mexican Restaurant,26,31,0,0,3.4
Tony Roma's,11,30,0,0,3.3
Vinny Vanucchi's,16,34,0,0,3.4
Champps Americana,17,33,0,0,3.5
Fiesta Cancun,13,35,0,0,3.6
Happy Joe's Pizza & Ice Cream,29,33,0,0,3.5
Houlihan's,10,41,0,0,3.6
Ichiban Hibachi Steakhouse & Sushi Bar,38,38,0,0,3.7
Kalmes Breaktime Bar & Grill,28,34,0,0,3.6
L. May Eatery,13,31,0,0,3.8
Los Aztecas,11,32,0,0,3.5
Manna Java World Cafe,21,32,0,0,3.5
Mario's Italian Restaurant,26,31,0,0,3.6
Pepper Sprout Incorporated,26,30,0,0,3.6
Shot Tower Inn,14,32,0,0,3.6
Sunshine Family Restaurant,26,34,0,0,3.5
Watershed Cafe,14,35,0,0,3.7
Woodfire Grille,15,34,0,0,3.6
The Belle General,17,37,0,0,4.1
Jehova es Mi Pastor Tacos y Burritos,36,37,0,0,3.7
Flaxton Gardens,15,31,0,0,3.5
Bespoke Harvest,15,25,0,0,3.7
Houndstooth Grill & Tavern,26,51,0,0,4.4
Hawg Wild BBQ & Catfish House,29,40,0,0,4.1
Bourbon Street Grille,21,35,0,0,3.8
Corkscrew Cafe,14,33,0,0,3.9
Smokin Gold BBQ,15,33,0,0,3.9
Hoka-Hoka Japanese Steak & Sushi,32,43,0,0,4.4
Shenanigan's Irish Pub,22,40,0,0,4.1
Fish Tales Lakeside Grille,26,46,0,0,3.8
Antebellum,10,44,0,0,4.3
Moonie's Texas Barbecue,23,46,0,0,4.1
Atlanta Highway Seafood Market,30,52,0,0,4.9
Eat at Thai,11,42,0,0,4.6
Smoke House BBQ and Catering,28,73,0,0,3.8
2 Dog,5,39,0,0,4.2
Longstreet Cafe,15,45,0,0,4.3
Re-Cess,7,41,0,0,4.2
Bodensee,8,34,0,0,3.8
Hofer's Bakery & Cafe,21,31,0,0,3.9
Troll Tavern,12,37,0,0,2.2
The Nacoochee Village Tavern & Pizzeria,39,32,0,0,4.0
Blue Bean Love Cafe,19,50,0,0,3.8
La Trattoria of Lavandula,25,47,0,0,3.8
5 Little Pigs,13,26,0,0,4.1
Beach Box Cafe,14,30,0,0,3.7
Funkey Monkey,13,35,0,0,3.8
Burger Queen Drive In,21,30,0,0,3.6
Blue Orchid Thai Restaurant,27,32,0,0,4.5
Stillwater on Belmore,21,25,0,0,3.6
Mr.,3,28,0,0,3.5
Emilio's Cuban Cafe,19,38,0,0,3.9
Ingleside Village Pizza,23,35,0,0,4.9
Jim Shaw's Seafood Grill & Bar,30,35,0,0,4.6
Mandarin Chinese Restaurant,27,34,0,0,4.5
Rookery,7,30,0,0,4.5
Dovetail,8,30,0,0,3.8
Bonefish Grill,14,34,0,0,4.1
Downtown Grill,14,32,0,0,4.0
Greek Corner Deli,17,30,0,0,4.3
Natalia's,9,36,0,0,4.2
Papouli's Mediterranean Cafe & Market,37,37,0,0,4.2
Benson's Steak and Sushi,24,47,0,0,3.7
My Fathers Place,16,38,0,0,3.7
Sushi Thai Restaurant,21,47,0,0,3.7
The Mellow Mushroom,19,42,0,0,3.8
El Jalisciense Mexican Restaurant,33,42,0,0,4.1
Greek Village,13,41,0,0,4.0
Martin's BBQ,12,53,0,0,4.2
Thai Pepper,11,45,0,0,4.0
Zen Japanese Steakhouse and Sushi Bar,37,41,0,0,4.1
Star Buffet,11,28,0,0,2.9
Triangle Restaurant,19,40,0,0,2.4
Three Anchors,13,35,0,0,3.8
HI Lite Bar & Lounge,20,36,0,0,3.4
Vince's Restaurant & Pizzeria,29,29,0,0,3.6
Poets Cafe,10,27,0,0,2.4
The Artesian Restaurant,23,83,0,0,3.6
Cev�_che Tapas Bar & Restaurant,31,41,0,0,4.4
'Ohana,6,49,0,0,4.5
Earl of Sandwich,16,52,0,0,4.7
Raglan Road Irish Pub and Restaurant,36,52,0,0,4.3
Caf�� Tu Tu Tango,17,43,0,0,4.6
Texas de Brazil,15,43,0,0,4.6
Bahama Breeze Island Grille,27,43,0,0,4.3
Maggiano's Little Italy,23,42,0,0,4.4
Hawkers Asian Street Fare,25,38,0,0,4.6
Tako Cheena by Pom Pom,22,41,0,0,4.4
Seasons 52 Fresh Grill,22,43,0,0,4.4
Hollerbach's Willow Tree Caf��,30,38,0,0,4.8
Pom Pom's Teahouse and Sandwicheria,35,40,0,0,4.9
Yellow Dog Eats,15,34,0,0,4.9
Tibby's New Orleans Kitchen,27,40,0,0,4.7
The Coop,8,44,0,0,3.6
Bosphorous Turkish Cuisine,26,37,0,0,4.2
Ethos Vegan Kitchen,19,50,0,0,4.4
Hillstone,9,47,0,0,4.4
The Ravenous Pig,16,45,0,0,4.4
Vivo Bar and Grill,18,37,0,0,4.4
Pier 70,7,29,0,0,2.6
DiVine,6,24,0,0,3.4
Cactus Flower Cafe Navarre,26,38,0,0,4.2
McGuire's Irish Pub & Brewery,29,41,0,0,4.9
New Yorker Deli & Pizzeria,26,40,0,0,4.6
Tu-Do Vietnamese Restaurant,27,37,0,0,4.5
Carrabba's Italian Grill,24,37,0,0,3.7
Jaco's Bayfront Bar and Grille,30,38,0,0,3.9
The Tin Cow,11,31,0,0,3.7
Cactus Flower Cafe,18,36,0,0,4.2
Dharma Blue,11,41,0,0,4.1
Global Grill,12,40,0,0,4.4
Ichiban,7,43,0,0,4.3
The Fish House,14,38,0,0,4.0
Tuscan Oven,11,35,0,0,4.1
Flounders Chowder House,23,50,0,0,3.9
Hemingway's Island Grill,24,50,0,0,3.5
Native Cafe,11,46,0,0,4.2
Peg Leg Pete's,14,47,0,0,4.4
The Grand Marlin,16,56,0,0,4.3
Original Georgios Authentic Greek Food,38,41,0,0,4.7
Fisherman's Corner,18,41,0,0,4.4
Mad Cowes Cafe,14,30,0,0,3.7
Rupes Burgers,13,35,0,0,3.7
Texas Roadhouse,15,39,0,0,3.5
Riverwalk Cafe,14,41,0,0,3.6
Royal Hotel,11,40,0,0,3.6
Buddy's Italian Restaurant,26,35,0,0,3.7
Butterburrs,11,43,0,0,3.6
Chang Garden,12,51,0,0,3.5
Fifth Street Bagelry,20,34,0,0,3.8
Goody's Deli,12,34,0,0,3.8
Grecian Key Restaurant,22,34,0,0,3.7
Outer Limits Fun Zone,21,37,0,0,3.5
Portneuf Valley Brewing,23,30,0,0,3.7
Sandpiper Restaurant & Lounge,29,34,0,0,3.6
Senor Iguanas,13,34,0,0,3.6
Sushi Family,12,40,0,0,3.6
Taste of India Nepal,20,38,0,0,3.8
Thai Paradise,13,32,0,0,3.7
The Bridge,10,37,0,0,3.6
Nosh Mahal,10,28,0,0,0.0
El Herradero,12,38,0,0,4.1
Barrett Junction Cafe,21,39,0,0,3.3
Blue Point Grill,16,34,0,0,4.0
Giovanni's Shrimp Truck,23,39,0,0,4.5
Kona Brewing Company,20,46,0,0,4.7
Leonard's Bakery,16,36,0,0,4.7
Coconuts Fish Cafe,18,34,0,0,4.5
Kihei Caffe,11,34,0,0,4.5
Monkeypod Kitchen by Merriman,29,59,0,0,4.2
Sansei Seafood Restaurant & Sushi Bar,37,32,0,0,4.2
Star Noodle,11,33,0,0,4.6
Aloha Mixed Plate,17,32,0,0,4.2
Gazebo,6,45,0,0,4.4
Hula Grill,10,38,0,0,4.3
Kimo's,6,31,0,0,4.3
Mama's Fish House,17,27,0,0,4.9
Marukame Udon,13,37,0,0,4.9
Yard House,10,33,0,0,4.6
Lulu's Waikiki,14,37,0,0,3.9
Duke's Waikiki,14,37,0,0,4.4
Eggs 'n Things,14,37,0,0,4.0
Roy's,5,33,0,0,4.2
Wailana Coffee House,20,39,0,0,4.2
The Lady & Sons,15,37,0,0,3.3
Green Truck Pub,15,41,0,0,4.7
Leopold's Ice Cream,19,42,0,0,4.6
Mrs. Wilkes' Dining Room,24,34,0,0,4.5
Zunzi's,7,37,0,0,4.5
Moon River Brewing Company,26,31,0,0,3.7
Pirates' House Restaurant,25,33,0,0,3.8
B. Matthew's Eatery,19,32,0,0,4.1
Crystal Beer Parlor,19,34,0,0,4.4
Goose Feathers Cafe and Bakery,30,33,0,0,4.2
Henry's,7,33,0,0,4.1
Huey's On The River,19,34,0,0,4.1
J. Christopher's,16,34,0,0,4.3
Lulu's Chocolate Bar,20,35,0,0,4.3
Rocks on the River,18,36,0,0,4.0
SOHO South Cafe,15,35,0,0,4.3
The Olde Pink House,19,34,0,0,4.4
Vic's On The River,18,31,0,0,4.1
The Crab Shack,14,44,0,0,3.8
Tybee Island Social Club,24,39,0,0,3.9
Sky On 57,9,46,0,0,3.4
Cut By Wolfgang Puck,20,48,0,0,4.0
Restaurant Andre,16,26,0,0,3.8
Potato Head Folk,16,25,0,0,3.1
Jaan,4,48,0,0,3.8
Rhubarb Le Restaurant,21,28,0,0,3.9
Al'frank Cookies,16,19,0,0,4.2
Fratini La Trattoria,20,42,0,0,4.1
Boufe Boutique Cafe,19,44,0,0,3.2
The Refinery Singapore,22,67,0,0,3.2
Chye Seng Huat Hardware,23,24,0,0,3.7
Makansutra Gluttons Bay,23,48,0,0,3.0
Colony,6,56,0,0,3.8
Summer Pavilion,15,64,0,0,3.9
The Lokal,9,20,0,0,3.1
I Am,4,46,0,0,3.2
Super Loco,10,44,0,0,3.2
Artistry,8,22,0,0,3.8
Bitters & Love,14,28,0,0,3.9
Artichoke Cafe,14,40,0,0,3.2
Archie's Waeside,16,33,0,0,3.7
Bob Roe's Pizza,15,38,0,0,3.6
Da Kao Restaurant,17,34,0,0,3.8
Famous Dave's,13,35,0,0,3.6
Fuji Bay Japanese Restaurant,28,32,0,0,3.7
HuHot Mongolian Grill,21,40,0,0,3.6
Hunan Palace,12,45,0,0,3.8
Jerry's Pizza,13,42,0,0,3.8
Jim's Burgers,13,35,0,0,3.7
Johnnie Mars,12,33,0,0,3.9
Miles Inn,9,36,0,0,3.7
Milwaukee Wiener House,22,36,0,0,3.8
Minerva's Food & Cocktails,26,40,0,0,3.7
Monterrey Mexican Restaurant,28,45,0,0,3.7
Rebos,5,33,0,0,3.8
Tokyo Japanese Steakhouse & Sushi Bar,37,47,0,0,3.9
Diamond Thai Cuisine,20,34,0,0,4.0
El Fredo Pizza,14,35,0,0,4.0
Trattoria Fresco,16,37,0,0,4.0
Kahill's Steak-Fish Chophouse,29,40,0,0,3.5
Rumba Island Bar & Grill,24,43,0,0,4.6
Red Mesa Cantina,16,37,0,0,4.6
BellaBrava,10,50,0,0,4.1
Ceviche Tapas Bar & Restaurant,30,36,0,0,4.1
The Moon Under Water,20,40,0,0,4.1
Bern's Steak House,18,34,0,0,4.7
Boca Kitchen Bar Market,23,33,0,0,3.9
Edison: Food+Drink Lab,22,35,0,0,3.9
Ceviche Tapas Bar & Restaurant,30,33,0,0,4.4
Daily Eats,10,36,0,0,4.4
Salt Rock Grill,15,40,0,0,4.2
Mazzaro's Italian Market,24,40,0,0,4.9
Conch Republic Grill,20,48,0,0,4.5
Mr. Dunderbak's Biergarten and Marketplatz,42,41,0,0,4.9
Red Mesa Restaurant,19,38,0,0,4.5
Datz,4,38,0,0,4.7
Ella's Americana Folk Art Cafe,30,36,0,0,4.8
Taco Bus,8,39,0,0,4.5
The Refinery,12,37,0,0,4.0
Columbia Restaurant,19,31,0,0,4.4
1918 Bistro & Grill,19,25,0,0,4.4
Pig and Whistle,15,31,0,0,4.1
Buffalo Wild Wings,18,36,0,0,3.4
El Toreo Mexican Restaurant,27,34,0,0,3.1
306 North Restaurant,20,38,0,0,3.9
Austins Cattle Co,17,35,0,0,3.7
Beijing Cafe,12,39,0,0,3.8
Bleu Cafe,9,38,0,0,3.7
Bleu Pub,8,34,0,0,3.8
Bubba Jax Crab Shack,20,35,0,0,3.7
Cheddar's Scratch Kitchen,25,36,0,0,3.7
El Cazador,10,38,0,0,3.7
Friends Grille and Bar,22,32,0,0,3.9
Giulios Greek & Italian Restaurant,34,32,0,0,3.8
La Jalisco Supermercato,23,38,0,0,3.5
Masato Japanese,15,35,0,0,3.9
Mom & Dad's Italian Restaurant,30,38,0,0,3.7
Mori's Japanese Steakhouse & Sushi Bar,38,34,0,0,3.5
Passage 2 India,15,42,0,0,3.8
Rodeo Mexican Restaurant,24,36,0,0,3.8
Steel Magnolias,15,39,0,0,3.8
Smok'n Pig B-B-Q,16,38,0,0,4.1
Blue House Cafe,15,33,0,0,4.3
Anchorage Cafe Restaurant Wine Bar,34,37,0,0,3.6
Lake House Restaurant,21,46,0,0,4.3
Masala Grill & Coffee House,27,36,0,0,3.2
Brown Bottle The Cedar Falls,28,37,0,0,3.7
Four Queens Dairy Cream,23,36,0,0,3.9
Hong Kong Chinese Restaurant,28,42,0,0,3.8
HuHot Mongolian Grill,21,42,0,0,3.7
J's Homestyle Cooking,21,44,0,0,3.6
Montage,7,34,0,0,3.6
Mulligan's Brick Oven Grill,27,36,0,0,3.6
Sakura,6,45,0,0,3.8
Scratch,7,34,0,0,3.7
SOHO Sushi Bar & Deli,21,34,0,0,3.6
Texas Roadhouse,15,42,0,0,3.6
Tony's La Pizzeria,18,34,0,0,3.6
Chapala,7,37,0,0,3.6
Galleria de Paco,16,41,0,0,3.6
Golden China,12,27,0,0,3.7
Rudy's Tacos,12,27,0,0,3.6
The Screaming Eagle,19,33,0,0,3.7
The Thai Bowl,13,39,0,0,3.5
Tokyo Japanese Steak House,26,37,0,0,3.9
Theo Yianni's Authentic Greek Restaurant,40,35,0,0,3.9
Fishpatrick's Crabby Cafe,25,43,0,0,3.2
Arigato Sushi,13,40,0,0,3.3
Denny's,7,57,0,0,4.6
Famous Dave's Barbecue,22,80,0,1,4.6
Pizza Di Rocco,14,90,1,1,4.4
Sofra Istanbul,14,64,0,0,4.3
Salt,4,42,0,0,4.2
Genghis Grill,13,57,0,0,4.6
Olive Garden,12,53,0,0,4.1
Cho Gao - Crowne Plaza Abu Dhabi,32,82,1,1,4.4
Gazebo,6,68,1,1,4.0
Sangeetha Vegetarian Restaurant,31,83,0,1,3.6
Hot Palayok,11,76,0,1,4.5
Applebee's,10,44,0,1,4.0
Tikka Tonight,13,58,0,1,4.0
Bait El Khetyar,15,33,0,1,4.0
Indian By Nature,16,93,1,1,4.3
Via Delhi,9,96,0,1,4.0
Punjab Grill,12,75,1,0,4.9
Tamba,5,59,1,0,4.7
P.F. Chang's,12,73,0,0,4.2
The Cheesecake Factory,22,56,0,0,4.6
The Farm,8,56,1,0,3.9
Maharaja Bhog,13,66,1,1,4.1
Rasoi Ghar,10,90,1,1,4.3
Barbeque Nation,15,59,1,0,4.5
Farzi Cafe,10,62,1,0,4.5
AB's Absolute Barbecues,23,69,1,0,4.9
Carnival By Tresind,19,37,1,0,4.9
AB's Absolute Barbecues,23,103,1,0,4.8
Hard Rock Cafe,14,47,0,0,4.5
The Coffee Club,15,93,0,1,4.5
SALT,4,40,0,0,4.3
Din Tai Fung,12,56,0,0,4.3
SpiceKlub,9,71,1,0,4.4
Tresind - Nassima Royal Hotel,29,73,1,0,4.9
Grand Barbeque Buffet Restaurant,32,62,1,1,4.4
Red Lobster,11,76,0,0,3.2
The Cheesecake Factory,22,66,0,0,4.7
Parker's,8,37,0,0,4.3
Applebee's,10,62,0,1,3.7
Grub Shack,10,98,1,1,4.3
Kamat,5,66,0,1,3.9
Vadakkan Pepper,15,54,0,1,3.8
Gazebo,6,76,0,1,4.1
Katis Restaurant,16,56,0,0,4.3
Zaroob,6,67,0,1,3.9
Derby,5,45,0,0,4.1
Nayaab Haandi,13,107,0,1,4.1
